N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
37.0,하이브,245500.0,0.0,0.00%,500.0,17762.0,48704.0,2369.0
38.0,우리금융지주,12000.0,50.0,+0.42%,5000.0,423727.0,4804744.0,44305.0
39.0,S-Oil,78000.0,100.0,+0.13%,2500.0,424460.0,196131.0,34052.0
40.0,기업은행,10920.0,70.0,+0.65%,5000.0,275361.0,4319797.0,37748.0
41.0,HD한국조선해양,118800.0,200.0,-0.17%,5000.0,173020.0,298835.0,-3556.0
42.0,대한항공,22750.0,250.0,+1.11%,5000.0,140961.0,289977.0,28306.0
43.0,KT,32350.0,400.0,+1.25%,5000.0,256500.0,409807.0,16901.0
44.0,HMM,16810.0,210.0,+1.27%,5000.0,185828.0,259735.0,99516.0
45.0,금양,136200.0,6100.0,+4.69%,500.0,2131.0,2828.0,132.0
46.0,아모레퍼시픽,130100.0,400.0,-0.31%,500.0,41349.0,58018.0,2142.0
47.0,한화오션,34600.0,500.0,-1.42%,5000.0,48602.0,122357.0,-16136.0
48.0,크래프톤,153600.0,800.0,+0.52%,100.0,18540.0,60303.0,7516.0
49.0,삼성중공업,8230.0,20.0,+0.24%,1000.0,59447.0,144917.0,-8544.0
50.0,LG생활건강,462500.0,0.0,0.00%,5000.0,71858.0,73029.0,7111.0
51.0,현대글로비스,172900.0,1200.0,-0.69%,500.0,269819.0,138778.0,17985.0
52.0,삼성엔지니어링,33050.0,300.0,+0.92%,5000.0,100543.0,78487.0,7029.0
53.0,SK바이오팜,81900.0,1500.0,+1.87%,500.0,2462.0,6642.0,-1311.0
54.0,DB손해보험,84800.0,1800.0,+2.17%,500.0,228608.0,644966.0,13331.0
55.0,KODEX 200,33730.0,50.0,+0.15%,0.0,,,
56.0,카카오페이,44550.0,150.0,+0.34%,500.0,5217.0,33315.0,-455.0
57.0,현대오토에버,217500.0,2000.0,+0.93%,500.0,27545.0,26194.0,1424.0
58.0,롯데케미칼,139300.0,1800.0,+1.31%,5000.0,222761.0,267846.0,-7626.0
59.0,한화에어로스페이스,117300.0,3300.0,+2.89%,5000.0,65396.0,151573.0,3772.0
60.0,SK스퀘어,41750.0,1400.0,-3.24%,100.0,45107.0,221606.0,1628.0
61.0,SK아이이테크놀로지,82700.0,200.0,+0.24%,1000.0,5858.0,34973.0,-523.0
62.0,LG이노텍,244500.0,8000.0,-3.17%,5000.0,195894.0,97936.0,12718.0
63.0,한화솔루션,33400.0,100.0,-0.30%,5000.0,136539.0,238317.0,9662.0
64.0,TIGER CD금리투자KIS(합성),52970.0,5.0,+0.01%,0.0,,,
65.0,SK바이오사이언스,72900.0,1100.0,+1.53%,500.0,4567.0,21419.0,1150.0
66.0,유한양행,73000.0,1600.0,+2.24%,1000.0,17758.0,24727.0,360.0
67.0,엔씨소프트,244500.0,3000.0,-1.21%,500.0,25718.0,44376.0,5590.0
68.0,HD현대,67500.0,3800.0,+5.97%,1000.0,608497.0,655709.0,33870.0
69.0,두산밥캣,52900.0,200.0,+0.38%,500.0,86219.0,92484.0,10716.0
70.0,맥쿼리인프라,12150.0,30.0,+0.25%,0.0,,,
71.0,한미반도체,54200.0,3100.0,-5.41%,100.0,3276.0,4554.0,1119.0
72.0,현대제철,38950.0,400.0,+1.04%,5000.0,273406.0,368010.0,16165.0
73.0,한국항공우주,50300.0,550.0,+1.11%,5000.0,27869.0,77724.0,1416.0
74.0,오리온,123400.0,200.0,+0.16%,500.0,28732.0,33717.0,4667.0
75.0,한온시스템,9020.0,40.0,+0.45%,100.0,86277.0,90988.0,2566.0
76.0,한국타이어앤테크놀로지,38800.0,250.0,+0.65%,500.0,83942.0,125814.0,7058.0
77.0,LG디스플레이,13090.0,50.0,-0.38%,5000.0,261518.0,356860.0,-20850.0
78.0,코스모신소재,152100.0,1800.0,-1.17%,1000.0,4856.0,4513.0,325.0
79.0,LG유플러스,10370.0,10.0,-0.10%,5000.0,139060.0,197748.0,10813.0
80.0,CJ제일제당,297500.0,3500.0,+1.19%,5000.0,300795.0,300132.0,16647.0
81.0,F&F,112600.0,1900.0,+1.72%,100.0,18089.0,15702.0,5249.0
82.0,미래에셋증권,6890.0,150.0,+2.23%,5000.0,191608.0,1062133.0,8356.0
83.0,현대건설,35900.0,600.0,+1.70%,5000.0,212391.0,209117.0,5749.0
84.0,금호석유,129200.0,400.0,-0.31%,5000.0,79756.0,77193.0,11477.0
85.0,한미약품,298500.0,17000.0,+6.04%,2500.0,13315.0,19246.0,1581.0
86.0,GS,39700.0,600.0,+1.53%,5000.0,287770.0,339222.0,50051.0
87.0,넷마블,42500.0,600.0,-1.39%,100.0,26734.0,89356.0,-1087.0
88.0,현대차2우B,101100.0,100.0,-0.10%,5000.0,,,
89.0,KODEX KOFR금리액티브(합성),104175.0,25.0,+0.02%,0.0,,,
90.0,삼성카드,30550.0,300.0,+0.99%,5000.0,37946.0,296232.0,8489.0
91.0,현대미포조선,87200.0,300.0,-0.34%,5000.0,37169.0,47482.0,-1091.0
92.0,호텔신라,88100.0,1200.0,+1.38%,5000.0,49220.0,29385.0,783.0
93.0,NH투자증권,10290.0,30.0,-0.29%,5000.0,115357.0,534283.0,5214.0
94.0,강원랜드,15800.0,380.0,+2.46%,500.0,12707.0,41678.0,2176.0
95.0,현대로템,30700.0,200.0,+0.66%,5000.0,31633.0,48239.0,1475.0
96.0,삼성증권,37350.0,550.0,+1.49%,5000.0,134869.0,538483.0,5781.0
97.0,SKC,84100.0,4800.0,-5.40%,5000.0,31389.0,63931.0,2203.0
98.0,코웨이,42000.0,150.0,-0.36%,500.0,38561.0,43651.0,6774.0
99.0,LS,95500.0,500.0,-0.52%,5000.0,174913.0,168140.0,6709.0
100.0,한국금융지주,53100.0,600.0,+1.14%,5000.0,250281.0,863086.0,5458.0
101.0,현대해상,31950.0,1250.0,+4.07%,500.0,203844.0,522276.0,8080.0
102.0,한진칼,42650.0,50.0,+0.12%,2500.0,2003.0,39151.0,145.0
103.0,KODEX 종합채권(AA-이상)액티브,104860.0,480.0,+0.46%,0.0,,,
104.0,쌍용C&E,5570.0,70.0,+1.27%,100.0,19650.0,38743.0,2209.0
105.0,LS ELECTRIC,92700.0,200.0,+0.22%,5000.0,33771.0,33228.0,1875.0
106.0,아모레G,32850.0,100.0,+0.31%,500.0,44950.0,76510.0,2719.0
107.0,키움증권,102100.0,2900.0,+2.92%,5000.0,89424.0,480373.0,6564.0
108.0,농심,439000.0,3500.0,-0.79%,5000.0,31291.0,30347.0,1122.0
109.0,BGF리테일,153600.0,200.0,+0.13%,1000.0,76158.0,29462.0,2524.0
110.0,롯데지주,24800.0,200.0,+0.81%,200.0,141119.0,221754.0,4898.0
111.0,LG화학우,331500.0,500.0,-0.15%,5000.0,,,
112.0,GS리테일,24250.0,300.0,+1.25%,1000.0,112264.0,98324.0,2451.0
113.0,한화시스템,13310.0,190.0,+1.45%,5000.0,21880.0,39456.0,240.0
114.0,씨에스윈드,59200.0,200.0,+0.34%,500.0,13749.0,17795.0,421.0
115.0,영원무역,55700.0,2000.0,+3.72%,500.0,39110.0,45136.0,8230.0
116.0,CJ,83400.0,4700.0,+5.97%,5000.0,409249.0,482404.0,21542.0
117.0,TIGER 200,33770.0,45.0,+0.13%,0.0,,,
118.0,한전기술,63200.0,600.0,+0.96%,200.0,5053.0,8165.0,139.0
119.0,TIGER 미국나스닥100,91180.0,200.0,-0.22%,0.0,,,
120.0,현대차우,99900.0,100.0,-0.10%,5000.0,,,
121.0,TIGER 차이나전기차SOLACTIVE,9060.0,140.0,-1.52%,0.0,,,
122.0,휠라홀딩스,39050.0,500.0,+1.30%,1000.0,42218.0,48218.0,4351.0
123.0,한미사이언스,33250.0,950.0,+2.94%,500.0,10461.0,11097.0,676.0
124.0,한국가스공사,24900.0,550.0,+2.26%,5000.0,517243.0,624250.0,24634.0
125.0,팬오션,4285.0,45.0,+1.06%,1000.0,64203.0,75489.0,7896.0
126.0,DB하이텍,51500.0,1200.0,-2.28%,5000.0,16753.0,21227.0,7687.0
127.0,HD현대일렉트릭,62700.0,100.0,+0.16%,5000.0,21045.0,24350.0,1330.0
128.0,영풍제지,48100.0,1450.0,-2.93%,500.0,1054.0,2037.0,78.0
129.0,BNK금융지주,6850.0,20.0,+0.29%,5000.0,75756.0,1369664.0,11589.0
130.0,제일기획,19170.0,370.0,+1.97%,200.0,42534.0,27514.0,3114.0
131.0,KODEX 23-12 은행채(AA+이상)액티브,10405.0,0.0,0.00%,0.0,,,
132.0,한화생명,2500.0,30.0,+1.21%,5000.0,337014.0,1612355.0,7147.0
133.0,KODEX CD금리액티브(합성),1010575.0,100.0,+0.01%,0.0,,,
134.0,에스원,56000.0,600.0,+1.08%,500.0,24680.0,20757.0,2041.0
135.0,신세계,211000.0,3000.0,+1.44%,5000.0,78128.0,143484.0,6454.0
136.0,롯데쇼핑,73000.0,800.0,+1.11%,5000.0,154760.0,317036.0,3862.0
137.0,롯데에너지머티리얼즈,44550.0,50.0,-0.11%,500.0,7294.0,24303.0,848.0
138.0,HD현대인프라코어,10130.0,40.0,-0.39%,1000.0,47561.0,47367.0,3325.0
139.0,TIGER 미국S&P500,14885.0,5.0,-0.03%,0.0,,,
140.0,효성첨단소재,451000.0,1000.0,-0.22%,5000.0,38414.0,29347.0,3151.0
141.0,이마트,72400.0,900.0,+1.26%,5000.0,293324.0,332017.0,1357.0
142.0,TIGER KOFR금리액티브(합성),102745.0,25.0,+0.02%,0.0,,,
143.0,KCC,224500.0,3500.0,+1.58%,5000.0,67748.0,131185.0,4677.0
144.0,JB금융지주,10100.0,40.0,+0.40%,5000.0,31171.0,598282.0,8258.0
145.0,KODEX 200TR,11530.0,20.0,+0.17%,0.0,,,
146.0,두산,116800.0,10300.0,+9.67%,5000.0,169958.0,263154.0,11260.0
147.0,HL만도,40850.0,250.0,-0.61%,1000.0,75162.0,58458.0,2481.0
148.0,이수페타시스,30250.0,2000.0,-6.20%,1000.0,6429.0,5460.0,1166.0
149.0,한솔케미칼,168400.0,1000.0,-0.59%,5000.0,8855.0,12533.0,1860.0
150.0,한화,25200.0,400.0,+1.61%,5000.0,622784.0,2111753.0,25161.0
151.0,LIG넥스원,84800.0,1700.0,+2.05%,5000.0,22208.0,30127.0,1791.0
152.0,CJ대한통운,81100.0,1900.0,+2.40%,5000.0,121307.0,96933.0,4118.0
153.0,대우건설,4450.0,0.0,0.00%,5000.0,104192.0,111404.0,7600.0
154.0,KODEX 레버리지,16510.0,60.0,+0.36%,0.0,,,
155.0,KODEX 200선물인버스2X,2585.0,10.0,-0.39%,0.0,,,
156.0,동서,17330.0,190.0,+1.11%,500.0,5565.0,16279.0,392.0
157.0,KG모빌리티,9190.0,190.0,+2.11%,5000.0,34233.0,20019.0,-1120.0
158.0,코스맥스,145300.0,400.0,-0.27%,500.0,16001.0,13965.0,531.0
159.0,현대엘리베이,41900.0,500.0,+1.21%,5000.0,21293.0,30145.0,430.0
160.0,효성중공업,175000.0,1700.0,-0.96%,5000.0,35101.0,46935.0,1432.0
161.0,TIGER 미국테크TOP10 INDXX,14185.0,45.0,+0.32%,0.0,,,
162.0,대한전선,12990.0,40.0,+0.31%,1000.0,24505.0,16203.0,482.0
163.0,롯데정밀화학,62500.0,3500.0,+5.93%,5000.0,24638.0,27098.0,4043.0
164.0,에스엘,34500.0,1000.0,-2.82%,500.0,41745.0,29316.0,1979.0
165.0,동원산업,34300.0,500.0,+1.48%,1000.0,90263.0,70612.0,4944.0
166.0,에스디바이오센서,12790.0,450.0,+3.65%,500.0,29320.0,32619.0,11466.0
167.0,현대백화점,67900.0,600.0,+0.89%,5000.0,50141.0,120692.0,3209.0
168.0,TIGER 미국필라델피아반도체나스닥,12830.0,120.0,-0.93%,0.0,,,
169.0,두산퓨얼셀,24000.0,700.0,+3.00%,100.0,3121.0,10269.0,72.0
170.0,효성티앤씨,360500.0,4000.0,-1.10%,5000.0,88827.0,43199.0,1236.0
171.0,SK네트웍스,6530.0,150.0,-2.25%,2500.0,96664.0,94993.0,1542.0
172.0,현대위아,55300.0,500.0,+0.91%,5000.0,82076.0,75465.0,2121.0
173.0,한전KPS,33350.0,150.0,+0.45%,200.0,14291.0,15620.0,1306.0
174.0,삼아알미늄,100500.0,1000.0,+1.01%,500.0,3121.0,2882.0,226.0
175.0,TIGER TOP10,11210.0,110.0,-0.97%,0.0,,,
176.0,솔루엠,29250.0,1100.0,+3.91%,500.0,16945.0,10343.0,756.0
177.0,OCI홀딩스,88900.0,500.0,+0.57%,5000.0,46713.0,67455.0,9767.0
178.0,오뚜기,362000.0,3000.0,+0.84%,5000.0,31833.0,35698.0,1857.0
179.0,코스모화학,40900.0,800.0,-1.92%,1000.0,7182.0,8079.0,414.0
180.0,삼양식품,187200.0,5000.0,-2.60%,5000.0,9090.0,9249.0,904.0
181.0,LX세미콘,86600.0,900.0,-1.03%,500.0,21193.0,12896.0,3106.0
182.0,대덕전자,28450.0,1000.0,-3.40%,500.0,13162.0,11918.0,2325.0
183.0,HD현대건설기계,71000.0,1500.0,-2.07%,5000.0,35156.0,34486.0,1706.0
184.0,TCC스틸,53300.0,1200.0,+2.30%,1000.0,6844.0,5075.0,440.0
185.0,TIGER 2차전지테마,32065.0,110.0,+0.34%,0.0,,,
186.0,이수스페셜티케미컬,244500.0,1000.0,+0.41%,5000.0,,,
187.0,하이트진로,19500.0,390.0,+2.04%,5000.0,24976.0,33334.0,1906.0
188.0,KODEX 단기채권PLUS,107675.0,0.0,0.00%,0.0,,,
189.0,덴티움,122000.0,1000.0,+0.83%,500.0,3559.0,6746.0,1257.0
190.0,코오롱인더,48850.0,300.0,+0.62%,5000.0,53675.0,60035.0,2425.0
191.0,한샘,56800.0,1400.0,+2.53%,1000.0,20009.0,10997.0,-217.0
192.0,효성,63100.0,700.0,+1.12%,5000.0,37193.0,52673.0,649.0
193.0,금호타이어,4625.0,40.0,+0.87%,5000.0,35592.0,46950.0,231.0
194.0,녹십자,113000.0,2700.0,+2.45%,5000.0,17113.0,25255.0,813.0
195.0,KBSTAR 200,33950.0,40.0,+0.12%,0.0,,,
196.0,DGB금융지주,7550.0,60.0,+0.80%,5000.0,72746.0,910107.0,6072.0
197.0,한올바이오파마,24300.0,1500.0,+6.58%,500.0,1100.0,2135.0,15.0
198.0,GS건설,14400.0,150.0,+1.05%,5000.0,122992.0,169466.0,5548.0
199.0,한국콜마,53500.0,600.0,+1.13%,500.0,18657.0,29333.0,733.0
200.0,롯데칠성,131100.0,3700.0,+2.90%,500.0,28417.0,36959.0,2229.0
201.0,대웅제약,104800.0,2600.0,+2.54%,2500.0,12801.0,15633.0,958.0
202.0,해성디에스,71000.0,3100.0,-4.18%,5000.0,8394.0,6596.0,2044.0
203.0,DL이앤씨,31150.0,450.0,+1.47%,5000.0,74968.0,89747.0,4970.0
204.0,SK가스,129200.0,400.0,+0.31%,5000.0,80662.0,58318.0,3905.0
205.0,KODEX 삼성그룹,9140.0,20.0,+0.22%,0.0,,,
206.0,KODEX 2차전지산업,27660.0,5.0,+0.02%,0.0,,,
207.0,LX인터내셔널,29700.0,150.0,+0.51%,5000.0,187595.0,77190.0,9655.0
208.0,솔루스첨단소재,32200.0,400.0,+1.26%,100.0,4612.0,14610.0,-452.0
209.0,코리안리,8020.0,70.0,+0.88%,500.0,125791.0,149781.0,1925.0
210.0,STX,36250.0,0.0,0.00%,2500.0,11886.0,7418.0,-20.0
211.0,후성,11700.0,90.0,-0.76%,500.0,6106.0,9338.0,1054.0
212.0,롯데관광개발,14920.0,180.0,+1.22%,500.0,1837.0,18028.0,-1187.0
213.0,종근당,87400.0,1600.0,+1.86%,2500.0,14883.0,11249.0,1099.0
214.0,SK오션플랜트,20450.0,150.0,-0.73%,500.0,6918.0,12200.0,719.0
215.0,GKL,17540.0,480.0,+2.81%,500.0,2621.0,6095.0,-139.0
216.0,SK케미칼,61900.0,800.0,+1.31%,5000.0,18292.0,39457.0,2305.0
217.0,롯데웰푸드,112600.0,600.0,+0.54%,500.0,32033.0,41053.0,1124.0
218.0,한국앤컴퍼니,11160.0,280.0,+2.57%,500.0,10959.0,43018.0,2452.0
219.0,명신산업,19790.0,30.0,+0.15%,500.0,15152.0,9293.0,1269.0
220.0,TIGER MSCI Korea TR,14330.0,30.0,+0.21%,0.0,,,
221.0,더존비즈온,33200.0,950.0,+2.95%,500.0,3043.0,8329.0,455.0
222.0,영원무역홀딩스,73300.0,0.0,0.00%,500.0,45339.0,54902.0,10022.0
223.0,JW중외제약,43650.0,1400.0,+3.31%,2500.0,6844.0,6280.0,630.0
224.0,KBSTAR 종합채권(A-이상)액티브,97145.0,415.0,+0.43%,0.0,,,
225.0,롯데렌탈,27100.0,50.0,-0.18%,5000.0,27389.0,69272.0,3084.0
226.0,영풍,538000.0,2000.0,+0.37%,5000.0,44295.0,58719.0,689.0
227.0,동원시스템즈,33900.0,200.0,+0.59%,5000.0,14370.0,14517.0,918.0
228.0,풍산,35000.0,100.0,-0.28%,5000.0,43730.0,33953.0,2316.0
229.0,아이에스동서,31450.0,400.0,+1.29%,500.0,22784.0,37378.0,3451.0
230.0,오리온홀딩스,15180.0,180.0,+1.20%,500.0,29346.0,51022.0,3998.0
231.0,KODEX 코스닥150선물인버스,3645.0,45.0,-1.22%,0.0,,,
232.0,제주항공,11980.0,100.0,+0.84%,1000.0,7025.0,16636.0,-1775.0
233.0,OCI,123900.0,1200.0,+0.98%,5000.0,,,
234.0,대한유화,141500.0,4900.0,+3.59%,5000.0,22221.0,21958.0,-2146.0
235.0,TKG휴켐스,21900.0,550.0,+2.58%,1000.0,12358.0,9414.0,1171.0
236.0,신풍제약,16880.0,230.0,-1.34%,500.0,2093.0,3615.0,-340.0
237.0,NHN,25250.0,200.0,+0.80%,500.0,21149.0,30252.0,391.0
238.0,TIGER 단기통안채,104460.0,20.0,+0.02%,0.0,,,
239.0,일진하이솔루스,24050.0,300.0,+1.26%,500.0,1091.0,3425.0,28.0
240.0,드림텍,13120.0,370.0,-2.74%,100.0,13686.0,8254.0,967.0
241.0,DN오토모티브,87100.0,1000.0,-1.14%,500.0,31564.0,45916.0,4215.0
242.0,한일시멘트,12470.0,100.0,+0.81%,500.0,14876.0,24608.0,1180.0
243.0,이노션,43100.0,2100.0,+5.12%,500.0,17504.0,22901.0,1369.0
244.0,SK리츠,4375.0,145.0,-3.21%,500.0,305.0,31176.0,225.0
245.0,세방전지,61300.0,900.0,+1.49%,500.0,14731.0,16770.0,811.0
246.0,PI첨단소재,28950.0,200.0,-0.69%,500.0,2764.0,4990.0,521.0
247.0,ESR켄달스퀘어리츠,3965.0,40.0,+1.02%,1000.0,495.0,23777.0,261.0
248.0,KBSTAR 머니마켓액티브,50705.0,5.0,+0.01%,0.0,,,
249.0,KG스틸,8420.0,330.0,+4.08%,5000.0,38197.0,30515.0,3404.0
250.0,롯데리츠,3450.0,20.0,+0.58%,500.0,587.0,23427.0,348.0
251.0,한세실업,20800.0,50.0,-0.24%,500.0,22048.0,12392.0,1796.0
252.0,KODEX 단기채권,106990.0,25.0,+0.02%,0.0,,,
253.0,세아베스틸지주,23000.0,200.0,+0.88%,5000.0,43863.0,38184.0,1279.0
254.0,대웅,14180.0,970.0,+7.34%,500.0,16973.0,21589.0,2073.0
255.0,DL,38700.0,650.0,+1.71%,5000.0,51750.0,120190.0,2875.0
256.0,다우기술,17960.0,190.0,+1.07%,500.0,92106.0,492600.0,7187.0
257.0,아시아나항공,10820.0,20.0,+0.19%,5000.0,62067.0,134553.0,5988.0
258.0,TIGER 200 IT,30665.0,510.0,-1.64%,0.0,,,
259.0,제이알글로벌리츠,4060.0,60.0,+1.50%,1000.0,549.0,20271.0,269.0
260.0,세아제강지주,192600.0,0.0,0.00%,5000.0,39538.0,35721.0,5672.0
261.0,비에이치,22700.0,50.0,+0.22%,500.0,16811.0,10073.0,1313.0
262.0,LG전자우,45500.0,150.0,-0.33%,5000.0,,,
